Term Users,,Term Users Active in IIQ,,,Term users Active in OIG,,,Term users Active in OIG,,,Term users Active in OIG,,,Term users Active in lenel
list,,(WD Aggregation),,,(Before Single Refresh),,,(After Single Refresh & Run Leaver),,,(After Run Leaver),,,(After Run Leaver because of Special character in name)
A0985021,,,A0985021,,,A0985021,,,A1598499,,,0,,
A109369,,,A1168609,,,A1159353,,,A3089507,,,,,
A1131632,,,A1204106,,,A1168609,,,A3019698,,,,,
A1154118,,,A1360645,,,A1204106,,,A1625127,,,,,
A1159353,,,A1481468,,,A1298224,,,A167628,,,,,
A1168609,,,A1546483,,,A1340335,,,,,,,,
A1204106,,,A1606706,,,A1360645,,,,,,,,
A1298224,,,A3014281,,,A1481468,,,,,,,,
A1332748,,,A3017157,,,A1494762,,,,,,,,
A1337478,,,A3030162,,,A1546483,,,,,,,,
A1340335,,,A3035064,,,A1575086,,,,,,,,
A1360645,,,A3038115,,,A1596434,,,,,,,,
A1429669,,,A3038658,,,A1598499,,,,,,,,
A1481468,,,A3039545,,,A1604477,,,,,,,,
A1494762,,,A3063363,,,A1606706,,,,,,,,
A1518642,,,A3075872,,,A1614508,,,,,,,,
A1532019,,,A3075973,,,A1625127,,,,,,,,
A1540991,,,A3078536,,,A1626074,,,,,,,,
A1546483,,,A3080271,,,A1646260,,,,,,,,
A1561478,,,A3084414,,,A167628,,,,,,,,
A1574023,,,A3086253,,,A3014281,,,,,,,,
A1575086,,,A3087077,,,A3017157,,,,,,,,
A1596434,,,A3088484,,,A3018018,,,,,,,,
A1597995,,,A3092406,,,A3018895,,,,,,,,
A1598499,,,A3092723,,,A3019698,,,,,,,,
A1604477,,,A974479,,,A3023136,,,,,,,,
A1606706,,,A979189,,,A3026372,,,,,,,,
A1614508,,,,,,A3030162,,,,,,,,
A1625127,,,,,,A3033595,,,,,,,,
A1626074,,,,,,A3035064,,,,,,,,
A1640103,,,,,,A3038115,,,,,,,,
A1643507,,,,,,A3038658,,,,,,,,
A1646260,,,,,,A3039545,,,,,,,,
A167628,,,,,,A3042565,,,,,,,,
A3003021,,,,,,A3046645,,,,,,,,
A3008218,,,,,,A3057674,,,,,,,,
A3008608,,,,,,A3062469,,,,,,,,
A3010118,,,,,,A3063363,,,,,,,,
A3014281,,,,,,A3071012,,,,,,,,
A3017157,,,,,,A3075872,,,,,,,,
A3018018,,,,,,A3075973,,,,,,,,
A3018895,,,,,,A3078498,,,,,,,,
A3019698,,,,,,A3078536,,,,,,,,
A3023136,,,,,,A3080271,,,,,,,,
A3026372,,,,,,A3080895,,,,,,,,
A3029152,,,,,,A3081347,,,,,,,,
A3030162,,,,,,A3081779,,,,,,,,
A3030528,,,,,,A3082756,,,,,,,,
A3033595,,,,,,A3082967,,,,,,,,
A3034177,,,,,,A3083875,,,,,,,,
A3034673,,,,,,A3084414,,,,,,,,
A3035064,,,,,,A3086168,,,,,,,,
A3037055,,,,,,A3086253,,,,,,,,
A3037868,,,,,,A3087077,,,,,,,,
A3038115,,,,,,A3088215,,,,,,,,
A3038658,,,,,,A3088484,,,,,,,,
A3039545,,,,,,A3088980,,,,,,,,
A3042565,,,,,,A3089507,,,,,,,,
A3046645,,,,,,A3089785,,,,,,,,
A3048528,,,,,,A3089899,,,,,,,,
A3053657,,,,,,A3090181,,,,,,,,
A3054664,,,,,,A3090505,,,,,,,,
A3055320,,,,,,A3091167,,,,,,,,
A3056432,,,,,,A3092406,,,,,,,,
A3056510,,,,,,A3092723,,,,,,,,
A3057674,,,,,,A3093242,,,,,,,,
A3061228,,,,,,A3093450,,,,,,,,
A3062469,,,,,,A3093694,,,,,,,,
A3063363,,,,,,A3093793,,,,,,,,
A3063821,,,,,,A3094581,,,,,,,,
A3067672,,,,,,A3094603,,,,,,,,
A3071012,,,,,,A3094730,,,,,,,,
A3074420,,,,,,A417575,,,,,,,,
A3075627,,,,,,A912739,,,,,,,,
A3075706,,,,,,A922854,,,,,,,,
A3075872,,,,,,A967162,,,,,,,,
A3075973,,,,,,A974479,,,,,,,,
A3076119,,,,,,A979189,,,,,,,,
A3078498,,,,,,,,,,,,,,
A3078536,,,,,,,,,,,,,,
A3078765,,,,,,,,,,,,,,
A3079112,,,,,,,,,,,,,,
A3079113,,,,,,,,,,,,,,
A3080271,,,,,,,,,,,,,,
A3080895,,,,,,,,,,,,,,
A3081347,,,,,,,,,,,,,,
A3081779,,,,,,,,,,,,,,
A3082756,,,,,,,,,,,,,,
A3082967,,,,,,,,,,,,,,
A3083875,,,,,,,,,,,,,,
A3084161,,,,,,,,,,,,,,
A3084414,,,,,,,,,,,,,,
A3084825,,,,,,,,,,,,,,
A3085862,,,,,,,,,,,,,,
A3086168,,,,,,,,,,,,,,
A3086253,,,,,,,,,,,,,,
A3087077,,,,,,,,,,,,,,
A3087715,,,,,,,,,,,,,,
A3088215,,,,,,,,,,,,,,
A3088484,,,,,,,,,,,,,,
A3088980,,,,,,,,,,,,,,
A3089507,,,,,,,,,,,,,,
A3089785,,,,,,,,,,,,,,
A3089899,,,,,,,,,,,,,,
A3090181,,,,,,,,,,,,,,
A3090505,,,,,,,,,,,,,,
A3091167,,,,,,,,,,,,,,
A3092389,,,,,,,,,,,,,,
A3092406,,,,,,,,,,,,,,
A3092606,,,,,,,,,,,,,,
A3092723,,,,,,,,,,,,,,
A3093242,,,,,,,,,,,,,,
A3093450,,,,,,,,,,,,,,
A3093694,,,,,,,,,,,,,,
A3093793,,,,,,,,,,,,,,
A3093794,,,,,,,,,,,,,,
A3094581,,,,,,,,,,,,,,
A3094603,,,,,,,,,,,,,,
A3094730,,,,,,,,,,,,,,
A417575,,,,,,,,,,,,,,
A850423,,,,,,,,,,,,,,
A912739,,,,,,,,,,,,,,
A922854,,,,,,,,,,,,,,
A967162,,,,,,,,,,,,,,
A974479,,,,,,,,,,,,,,
A977979,,,,,,,,,,,,,,
A979189,,,,,,,,,,,,,,
