Term Users,,Term Users Active in IIQ,,,Term users Active in OIG,,,Term users Active in OIG,,,Term users Active in OIG,,,Term users Active in lenel
list,,(WD Aggregation),,,(Before Single Refresh),,,(After Single Refresh & Run Leaver),,,(Clear stuck event &After Run Leaver),,,(After Run Leaver because of Special character in name)
A0079729,,A0079729,,,A0079729,,,A1285723,,,0,,,0
A1090869,,A1090869,,,A1090869,,,A1305630,,,,,,
A1183326,,A1183326,,,A1183326,,,A3022711,,,,,,
A1192706,,A1192706,,,A1192706,,,A3045494,,,,,,
A1252933,,A1252933,,,A1252933,,,A3048168,,,,,,
A1279115,,A1279115,,,A1279115,,,A3087029,,,,,,
A1285723,,A1285723,,,A1285723,,,,,,,,,
A1291135,,A1291135,,,A1291135,,,,,,,,,
A1305630,,A1305630,,,A1305630,,,,,,,,,
A1331967,,A1331967,,,A1331967,,,,,,,,,
A1363115,,A1363115,,,A1363115,,,,,,,,,
A1369208,,A1369208,,,A1369208,,,,,,,,,
A1369958,,A1369958,,,A1369958,,,,,,,,,
A1397071,,A1397071,,,A1397071,,,,,,,,,
A1405727,,A1405727,,,A1405727,,,,,,,,,
A1409372,,A1409372,,,A1409372,,,,,,,,,
A1411329,,A1411329,,,A1411329,,,,,,,,,
A1435185,,A1435185,,,A1435185,,,,,,,,,
A1450605,,A1450605,,,A1450605,,,,,,,,,
A1454786,,A1454786,,,A1454786,,,,,,,,,
A1457550,,A1457550,,,A1457550,,,,,,,,,
A1464017,,A1464017,,,A1464017,,,,,,,,,
A1467478,,A1467478,,,A1467478,,,,,,,,,
A1485015,,A1485015,,,A1485015,,,,,,,,,
A1497784,,A1497784,,,A1497784,,,,,,,,,
A1512259,,A1512259,,,A1512259,,,,,,,,,
A1535660,,A1535660,,,A1535660,,,,,,,,,
A1536733,,A1536733,,,A1536733,,,,,,,,,
A1550039,,A1550039,,,A1550039,,,,,,,,,
A1562506,,A1562506,,,A1562506,,,,,,,,,
A1576731,,A1576731,,,A1576731,,,,,,,,,
A1580133,,A1580133,,,A1580133,,,,,,,,,
A1591558,,A1591558,,,A1591558,,,,,,,,,
A1594975,,A1594975,,,A1594975,,,,,,,,,
A1602225,,A1602225,,,A1602225,,,,,,,,,
A1603390,,A1603390,,,A1603390,,,,,,,,,
A1603991,,A1603991,,,A1603991,,,,,,,,,
A1605153,,A1605153,,,A1605153,,,,,,,,,
A1616105,,A1616105,,,A1616105,,,,,,,,,
A1616927,,A1616927,,,A1616927,,,,,,,,,
A1618424,,A1618424,,,A1618424,,,,,,,,,
A1619484,,A1619484,,,A1619484,,,,,,,,,
A1622158,,A1622158,,,A1622158,,,,,,,,,
A1623252,,A1623252,,,A1623252,,,,,,,,,
A1626990,,A1626990,,,A1626990,,,,,,,,,
A1630606,,A1630606,,,A1630606,,,,,,,,,
A1631116,,A1631116,,,A1631116,,,,,,,,,
A1632805,,A1632805,,,A1632805,,,,,,,,,
A1634530,,A1634530,,,A1634530,,,,,,,,,
A1635147,,A1635147,,,A1635147,,,,,,,,,
A1636099,,A1636099,,,A1636099,,,,,,,,,
A1637478,,A1637478,,,A1637478,,,,,,,,,
A1637945,,A1637945,,,A1637945,,,,,,,,,
A1638383,,A1638383,,,A1638383,,,,,,,,,
A1646820,,A1646820,,,A1646820,,,,,,,,,
A183174,,A183174,,,A183174,,,,,,,,,
A254645,,A254645,,,A254645,,,,,,,,,
A3002275,,A3002275,,,A3002275,,,,,,,,,
A3007332,,A3007332,,,A3007332,,,,,,,,,
A3009898,,A3009898,,,A3009898,,,,,,,,,
A3009960,,A3009960,,,A3009960,,,,,,,,,
A3016769,,A3016769,,,A3016769,,,,,,,,,
A3022711,,A3022711,,,A3022711,,,,,,,,,
A3024588,,A3024588,,,A3024588,,,,,,,,,
A3024850,,A3024850,,,A3024850,,,,,,,,,
A3025635,,A3025635,,,A3025635,,,,,,,,,
A3027704,,A3027704,,,A3027704,,,,,,,,,
A3028291,,A3028291,,,A3028291,,,,,,,,,
A3028667,,A3028667,,,A3028667,,,,,,,,,
A3031686,,A3031686,,,A3031686,,,,,,,,,
A3037543,,A3037543,,,A3037543,,,,,,,,,
A3037573,,A3037573,,,A3037573,,,,,,,,,
A3037602,,A3037602,,,A3037602,,,,,,,,,
A3038227,,A3038227,,,A3038227,,,,,,,,,
A3039002,,A3039002,,,A3039002,,,,,,,,,
A3040333,,A3040333,,,A3040333,,,,,,,,,
A3040334,,A3040334,,,A3040334,,,,,,,,,
A3040345,,A3040345,,,A3040345,,,,,,,,,
A3041602,,A3041602,,,A3041602,,,,,,,,,
A3044644,,A3044644,,,A3044644,,,,,,,,,
A3045494,,A3045494,,,A3045494,,,,,,,,,
A3045939,,A3045939,,,A3045939,,,,,,,,,
A3047399,,A3047399,,,A3047399,,,,,,,,,
A3048168,,A3048168,,,A3048168,,,,,,,,,
A3048210,,A3048210,,,A3048210,,,,,,,,,
A3048646,,A3048646,,,A3048646,,,,,,,,,
A3051550,,A3051550,,,A3051550,,,,,,,,,
A3052739,,A3052739,,,A3052739,,,,,,,,,
A3054331,,A3054331,,,A3054331,,,,,,,,,
A3055474,,A3055474,,,A3055474,,,,,,,,,
A3055669,,A3055669,,,A3055669,,,,,,,,,
